Unnamed: 0,reviewText,image,sentiment,emotion
0,"This is a great little sewing kit that is perfect for travel, keeping in a desk drawer at work, sending with your kid to college, a token of appreciation, etc.

The kit comes well stocked with a nice assortment of good quality supplies. Oftentimes with kits like these, the accessories aren't very good. That is definitely not the case with this kit.

The kit includes everything needed to do simple repairs on clothing and other items (blankets, pillows, stuffed toys, etc.) While the name is Crafter's Friend, it's perfect for anyone.  I know I'll have this kit around for years to come because when the threads and buttons are used up, I can easily replenish them. I had a coupon for the kit I bought, but I won't hesitate to buy more as gifts and small prizes.Nice mini sewing kit excellent qualityNice mini sewing kit excellent qualityNice mini sewing kit excellent quality",https://images-na.ssl-images-amazon.com/images/I/81H+PnmcsAL._SY88.jpg,positive,happiness
1,"I am a first time user of this type of finish for my artwork and craft projects, therefore I cannot compare this product to others. What I can do, though, is share my experience using it. My first attempt at using this with paper did not come out as smooth as I had wished. I ended up with a few wrinkles and bubbles, but I do not blame the product but my inexperience. I liked that the finish held to the foam brush well without dripping and smoothly covered the paper project. without leaving brush lines. A little bit went a long way, too.  My second attempt went much better. I did not put as much finish on it as I had the first time and also waited a bit for the finish to get a little tacky before I adhered the paper to the base, (Thank you You-tube!)
I used a brayer to smooth the paper once it was adhered to the base. I had very little wrinkling or bubbling. Clean up was very easy. The foam brushes, my hands and the brayer washed off easily with just water. I also like that his set came with both a matte and a gloss finish as well a 25 foam brushed. I can't  image me using them all unless I get  hooked on this type of craft finishing. I only have used the matte finish so far, and i like the look of it. The photos below were my fist two attempts. I used a canvas as the base for the project and colored card stock paper for the designs. I also printed the center design on card stock. I imagine it will be a different experience when I use napkins or thinner paper for a project.Applies smoothlyApplies smoothlyApplies smoothly",https://images-na.ssl-images-amazon.com/images/I/31J6BGdXKHL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/318TvMwYRlL._SY88.jpg,positive,happiness
2,"With several different choices of pencils under the same listing please make sure that you read the reviews for the ones you are considering purchasing otherwise you might be disappointed. This review is for the Kenting 36 Crude (base) Wood pencils stores in a 'natural' round cylinder which includes a pencil sharpener.

The pencils themselves color well, WAY better than some of the cheaper brands out there. There is a wide variety of colors provided including a LOT of blues and green. What this set does lack is a good selection of reds. There are some nice pinks but only a couple reds. I would have liked to have seen more considering how many different blues there are! The picture I included illustrates ALL the colors bar white so it gives you a good idea of what colors you will be receiving. The pencil sharpener works well so that is definitely handy if you are outside or at the doctor's office etc. and don't have access to your electric pencil sharpener. The cylindrical box measures in at 8 3/8"" x 2 1/8"" so does not take up a lot of space.

What's not to like? The writing on the box is in a foreign language. Due to the natural wood which I do think looks great and certainly cuts down on the chemical odors that accompany some pencils, sadly it is sometimes hard to see exactly which shade of pencil you want. The name of the color needs to be stamped on the pencil.

Definite keeper in this house and definitely an ""okay"" product hence 3 stars. It means I like them but due to the ""issues"" above I am not jumping up and down going ""Wow! Wow! Wow!"" Product provided in exchange for an honest review. Thanks, Liz~~ Handy set to have in your bag ~~~~ Handy set to have in your bag ~~~~ Handy set to have in your bag ~~",https://images-na.ssl-images-amazon.com/images/I/41qhDbRVtSL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/5139oZvlElL._SY88.jpg,positive,sadness
3,"I received these brushes at no cost in order to test and review them. Normally I work in watercolors, but this summer I did several oil paintings and used these brushes.

WHAT I LIKED:
* I liked the selection. These are all filberts, which are nice for soft edges. The #12 was big enough to do flat sky washes, and the smaller sizes were good for details, trees in the distance, stones buildings, etc.

* The brush quality was pretty good overall

* I washed these well and they stayed soft from week to week.

WHAT I DIDN'T LIKE:
* Some of these had a few loose hairs
* I prefer shorter handles on the smaller sized brushes.Pretty good student brushesPretty good student brushesPretty good student brushes",https://images-na.ssl-images-amazon.com/images/I/81YOEkZMxGL._SY88.jpg,positive,happiness
4,"Well made with strong stitching, and a substantial canvas type material. Holds & protects my shorter brushes. Zipper closure.  Attractive!
In the photo, this case is the pink one (on the right), and you can compare it with the gray case that holds my long brushes (on left).Love itLove itLove it",https://images-na.ssl-images-amazon.com/images/I/81G22jZmzJL._SY88.jpg,positive,happiness
5,"Jolee's stickers are almost always best-in-class for decorating greeting cards. I like to use these white and silver gem and pearl clusters for embellishing my wedding cards, which I sell to benefit our local library.

These stickers can be used singly  as the main decoration on an A2 (5.5"" x 4.25"") greeting card.  See customer image for an example of an A2 Friendship card using one of the larger stickers, plus the four single pearls at the corners of the card.  I simply peeled the stickers off of the clear plastic sheet inside the package, and stuck them to my card.  One of the pearls didn't stick very well and I had to glue it onto the card face, but that wasn't a big deal.

NOTE:  these stickers are rather bulky and will require protection if your greeting card is going to be mailed.Pretty but somewhat bulkyPretty but somewhat bulkyPretty but somewhat bulky",https://images-na.ssl-images-amazon.com/images/I/516aYgIzRyL._SY88.jpg,positive,happiness
6,"Love the shimmery, metallic look these pens make possible!  I used the gold one for the arrows and ""cards"" writing in the photo, which will give you a feel for it.  They're fine-tipped pens, which is great for intricate fonts and other details.  Fairly easy to use, but my only gripe is that sometimes the pen sprays tiny dots of ink roughly within a 1-inch radius of where you're writing.  I think it might be more likely to do this when it's running low on ink.  The dots gave what I was working on a cool ""starry"" look, which sometimes looked great and seemed sort of intentional, but other times it looked sloppy.  If smooth wood or plastic is your surface, as opposed to paper/card stock, the dots can be corrected if you clean them up quickly with a Q-tip.  (I've used the white version of this pen on particle board and experienced the same thing).  Recommended nonetheless!Beautiful but occasionally sprays unwanted ""dots""Beautiful but occasionally sprays unwanted ""dots""Beautiful but occasionally sprays unwanted ""dots""",https://images-na.ssl-images-amazon.com/images/I/51QeExwlL0L._SY88.jpg,positive,happiness
7,"I love this product. The price is amazing, the quality is great and they make your projects so darn cute. I just got it today and used it right away. They work so well!!! Really happy with it. I totally recommend it!!!WonderfulWonderfulWonderful",https://images-na.ssl-images-amazon.com/images/I/71Y0LB9cvuL._SY88.jpg,positive,happiness
8,"Well, it seems I have a new friend: lol. She was easy to put together but I could not figure how to dress her; so I called up you-tube and watched how to dress a mannequin. I should have figured that, (never dressed anyone before).  The only problem I  had was when I was putting on her wig was one of her eye lashes come off. Now I will have to figure out how to replace it. Other then that she is  fashionably dressed for the summer. I am off to buy her some more clothes, lol.Like a real personLike a real personLike a real person",https://images-na.ssl-images-amazon.com/images/I/71F8WcOhTbL._SY88.jpg,positive,happiness
9,"Very nice set of muted, almost pastel like colors to use with your favorite wax seals.  I make rainbow seals using the different colors and it is always a hit!Very pretty set of colored wax to use with your wax stamps.Very pretty set of colored wax to use with your wax stamps.Very pretty set of colored wax to use with your wax stamps.",https://images-na.ssl-images-amazon.com/images/I/71zDqwNw9xL._SY88.jpg,positive,happiness
